Node1,Node2,Relationship
GO:0005085,GO:0140677,Uncle：1/Nephew (叔侄节点)
GO:0010550,GO:0042176,Uncle：1/Nephew (叔侄节点)
GO:1905033,GO:0048518,Uncle：1/Nephew (叔侄节点)
GO:0042573,GO:0042445,Uncle：1/Nephew (叔侄节点)
GO:0097485,GO:0031175,Uncle/Nephew：1 (叔侄节点)
GO:0019677,GO:0006195,Uncle/Nephew：1 (叔侄节点)
GO:0031400,GO:0051248,Uncle：1/Nephew (叔侄节点)
GO:0140704,GO:0043168,Uncle：1/Nephew (叔侄节点)
GO:2001001,GO:2000989,Sibling (兄弟节点)
GO:0080112,GO:0022414,Grandparent-Grandchild (爷孙节点)
GO:0034171,GO:0039531,Uncle/Nephew：1 (叔侄节点)
GO:0000761,GO:0098610,Uncle：1/Nephew (叔侄节点)
GO:0062158,GO:0022853,Uncle：1/Nephew (叔侄节点)
GO:0035738,GO:0035821,Uncle/Nephew：1 (叔侄节点)
GO:0035725,GO:0098655,Uncle：1/Nephew (叔侄节点)
GO:0046618,GO:0140352,Uncle/Nephew：1 (叔侄节点)
GO:0043605,GO:0009056,Uncle：1/Nephew (叔侄节点)
GO:0045942,GO:0010563,Uncle/Nephew：1 (叔侄节点)
GO:0140703,GO:0032561,Uncle/Nephew：1 (叔侄节点)
GO:0015108,GO:0015103,Uncle：1/Nephew (叔侄节点)
GO:0031431,GO:1902554,Uncle/Nephew：1 (叔侄节点)
GO:1902893,GO:2000628,Uncle：1/Nephew (叔侄节点)
GO:0015091,GO:1901682,Uncle：1/Nephew (叔侄节点)
GO:0052598,GO:0052597,Sibling (兄弟节点)
GO:2000120,GO:0051050,Uncle：1/Nephew (叔侄节点)
GO:0030205,GO:0032787,Uncle/Nephew：1 (叔侄节点)
GO:0090052,GO:0010964,Sibling (兄弟节点)
GO:0075031,GO:0051094,Uncle：1/Nephew (叔侄节点)
GO:0019694,GO:0006082,Sibling (兄弟节点)
GO:1902860,GO:0046949,Sibling (兄弟节点)
GO:0070212,GO:0043687,Uncle/Nephew：1 (叔侄节点)
GO:0033792,GO:0016616,Uncle/Nephew：1 (叔侄节点)
GO:0006846,GO:0071705,Uncle：1/Nephew (叔侄节点)
GO:0046058,GO:0052652,Uncle/Nephew：1 (叔侄节点)
GO:0008212,GO:0009987,No Specific Relationship
GO:0005261,GO:0008324,Uncle/Nephew：1 (叔侄节点)
GO:0006821,GO:0006820,Uncle：1/Nephew (叔侄节点)
GO:0019471,GO:1901360,Uncle：1/Nephew (叔侄节点)
GO:1905014,GO:1902690,Uncle：1/Nephew (叔侄节点)
GO:0015730,GO:0015913,Sibling (兄弟节点)
GO:0047057,GO:0016728,Uncle：1/Nephew (叔侄节点)
GO:0039516,GO:0019048,Uncle：1/Nephew (叔侄节点)
GO:1990143,GO:1902494,Sibling (兄弟节点)
GO:0005601,GO:1902494,Sibling (兄弟节点)
GO:0070779,GO:0015810,Sibling (兄弟节点)
GO:0006734,GO:0019674,Sibling (兄弟节点)
GO:0030895,GO:0045293,Uncle/Nephew：1 (叔侄节点)
GO:0046444,GO:0052648,No Specific Relationship
GO:0051478,GO:0019752,Uncle/Nephew：1 (叔侄节点)
GO:0010835,GO:0051338,No Specific Relationship
GO:0046068,GO:0052652,Uncle/Nephew：1 (叔侄节点)
GO:1901055,GO:0006807,Uncle：1/Nephew (叔侄节点)
GO:0071311,GO:1901699,Uncle/Nephew：1 (叔侄节点)
GO:0034081,GO:1902494,Sibling (兄弟节点)
GO:2000442,GO:0062208,Uncle：1/Nephew (叔侄节点)
GO:1901327,GO:0010243,Uncle/Nephew：1 (叔侄节点)
GO:0039657,GO:0050794,Uncle：1/Nephew (叔侄节点)
GO:2000541,GO:0031325,Uncle：1/Nephew (叔侄节点)
GO:0071273,GO:0044273,Uncle：1/Nephew (叔侄节点)
GO:0034488,GO:0032974,Sibling (兄弟节点)
GO:1990249,GO:0044815,Sibling (兄弟节点)
GO:1900781,GO:1901362,Uncle：1/Nephew (叔侄节点)
GO:0097271,GO:0008104,Uncle：1/Nephew (叔侄节点)
GO:1901684,GO:0055085,Uncle：1/Nephew (叔侄节点)
GO:0070219,GO:0055082,Uncle：1/Nephew (叔侄节点)
GO:1900160,GO:0051276,Uncle：1/Nephew (叔侄节点)
GO:0005955,GO:0140535,Uncle：1/Nephew (叔侄节点)
GO:0046343,GO:0006807,Uncle：1/Nephew (叔侄节点)
GO:0006470,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0007204,GO:0065008,Uncle：1/Nephew (叔侄节点)
GO:1902656,GO:0006816,Uncle：1/Nephew (叔侄节点)
GO:1900072,GO:0051050,Uncle：1/Nephew (叔侄节点)
GO:0046300,GO:1901565,Uncle/Nephew：1 (叔侄节点)
GO:0070332,GO:1902494,Sibling (兄弟节点)
GO:0120248,GO:1901575,Sibling (兄弟节点)
GO:0072541,GO:0004601,Uncle/Nephew：1 (叔侄节点)
GO:1903425,GO:0008509,Uncle：1/Nephew (叔侄节点)
GO:0019501,GO:0046395,Sibling (兄弟节点)
GO:0031250,GO:1902494,Sibling (兄弟节点)
GO:1904361,GO:0048522,Uncle：1/Nephew (叔侄节点)
GO:0140330,GO:0042908,Uncle：1/Nephew (叔侄节点)
GO:0008207,GO:0042445,Uncle：1/Nephew (叔侄节点)
GO:0006876,GO:0030003,Uncle：1/Nephew (叔侄节点)
GO:0035923,GO:0031406,Uncle/Nephew：1 (叔侄节点)
GO:0034745,GO:1905360,Uncle/Nephew：1 (叔侄节点)
GO:0051958,GO:0072337,Uncle/Nephew：1 (叔侄节点)
GO:0018143,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0045883,GO:0032109,Uncle/Nephew：1 (叔侄节点)
GO:0044677,GO:1902494,Sibling (兄弟节点)
GO:0035864,GO:1902074,Uncle：1/Nephew (叔侄节点)
GO:0019674,GO:0006163,Uncle/Nephew：1 (叔侄节点)
GO:0005835,GO:0140535,Sibling (兄弟节点)
GO:0060395,GO:0035556,Sibling (兄弟节点)
GO:1903493,GO:1902074,Uncle/Nephew：1 (叔侄节点)
GO:0042873,GO:1905039,Uncle：1/Nephew (叔侄节点)
GO:0006182,GO:0009190,Uncle/Nephew：1 (叔侄节点)
GO:0010856,GO:0010853,Sibling (兄弟节点)
GO:0031211,GO:0002178,Uncle/Nephew：1 (叔侄节点)
GO:0015874,GO:0015695,Uncle：1/Nephew (叔侄节点)
GO:0052183,GO:0051702,Uncle：1/Nephew (叔侄节点)
GO:1903704,GO:0070921,Uncle/Nephew：1 (叔侄节点)
GO:0010034,GO:1902074,Uncle/Nephew：1 (叔侄节点)
GO:0008278,GO:0044815,Sibling (兄弟节点)
GO:0097076,GO:1902911,Uncle/Nephew：1 (叔侄节点)
GO:0035278,GO:0017148,Uncle：1/Nephew (叔侄节点)
GO:0051476,GO:0009401,Sibling (兄弟节点)
GO:0030653,GO:0009308,Uncle/Nephew：1 (叔侄节点)
GO:0035864,GO:1901700,Uncle：1/Nephew (叔侄节点)
GO:0072707,GO:1901701,Uncle/Nephew：1 (叔侄节点)
GO:0070690,GO:0043605,Uncle：1/Nephew (叔侄节点)
GO:0007220,GO:0019538,Uncle：1/Nephew (叔侄节点)
GO:0014727,GO:0048636,Uncle：1/Nephew (叔侄节点)
GO:0045572,GO:0048639,Uncle：1/Nephew (叔侄节点)
GO:0006704,GO:0120178,Sibling (兄弟节点)
GO:0010854,GO:0010851,Uncle：1/Nephew (叔侄节点)
GO:0060919,GO:0098739,Uncle：1/Nephew (叔侄节点)
GO:0061553,GO:0071695,Uncle：1/Nephew (叔侄节点)
GO:0034587,GO:0070918,Uncle/Nephew：1 (叔侄节点)
GO:0072748,GO:0071407,Uncle/Nephew：1 (叔侄节点)
GO:0062207,GO:0045088,Sibling (兄弟节点)
GO:1902324,GO:0045723,Sibling (兄弟节点)
GO:0000745,GO:0022414,No Specific Relationship
GO:1902894,GO:2000629,Uncle：1/Nephew (叔侄节点)
GO:0036254,GO:1902075,Uncle：1/Nephew (叔侄节点)
GO:0030209,GO:0072329,Uncle/Nephew：1 (叔侄节点)
GO:1901569,GO:0016042,Sibling (兄弟节点)
GO:0004810,GO:0070567,Uncle：1/Nephew (叔侄节点)
GO:0015520,GO:0015297,Uncle：1/Nephew (叔侄节点)
GO:0071315,GO:1902075,Uncle：1/Nephew (叔侄节点)
GO:1900332,GO:0033240,Sibling (兄弟节点)
GO:1903966,GO:0006633,Sibling (兄弟节点)
GO:0052841,GO:0008486,Sibling (兄弟节点)
GO:0052710,GO:0009063,Uncle/Nephew：1 (叔侄节点)
GO:0071246,GO:1902075,Uncle/Nephew：1 (叔侄节点)
GO:0019470,GO:0046700,Uncle：1/Nephew (叔侄节点)
GO:0019197,GO:1902494,Sibling (兄弟节点)
GO:0044656,GO:0097494,Sibling (兄弟节点)
GO:0044667,GO:0015297,Uncle：1/Nephew (叔侄节点)
GO:0097295,GO:0044272,Uncle：1/Nephew (叔侄节点)
GO:1990818,GO:0072337,Uncle/Nephew：1 (叔侄节点)
GO:0031421,GO:1902494,Uncle/Nephew：1 (叔侄节点)
GO:0017101,GO:0140535,Sibling (兄弟节点)
GO:0017013,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0060390,GO:1902531,Sibling (兄弟节点)
GO:0110153,GO:0016462,Sibling (兄弟节点)
GO:0035431,GO:0032891,Uncle：1/Nephew (叔侄节点)
GO:1903580,GO:1900544,Uncle/Nephew：1 (叔侄节点)
GO:0051481,GO:0065008,Uncle：1/Nephew (叔侄节点)
GO:0014725,GO:0048634,Uncle：1/Nephew (叔侄节点)
GO:0110065,GO:0032879,Uncle：1/Nephew (叔侄节点)
GO:0031406,GO:0043177,Uncle：1/Nephew (叔侄节点)
GO:1902690,GO:1900544,Uncle/Nephew：1 (叔侄节点)
GO:0055063,GO:0098771,Uncle：1/Nephew (叔侄节点)
GO:0034136,GO:0009968,Uncle：1/Nephew (叔侄节点)
GO:0047066,GO:0004601,Sibling (兄弟节点)
GO:0010024,GO:0043650,No Specific Relationship
GO:0008348,GO:0031348,Uncle/Nephew：1 (叔侄节点)
GO:1901354,GO:1902074,Uncle：1/Nephew (叔侄节点)
GO:0006116,GO:0008152,Grandparent-Grandchild (爷孙节点)
GO:2000774,GO:0031325,Uncle/Nephew：1 (叔侄节点)
GO:1901571,GO:0006869,Sibling (兄弟节点)
GO:0001755,GO:0090497,Sibling (兄弟节点)
GO:0005277,GO:0015651,Sibling (兄弟节点)
GO:0015499,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:1901352,GO:0031327,Uncle：1/Nephew (叔侄节点)
GO:0043603,GO:0006807,Uncle：1/Nephew (叔侄节点)
GO:0039673,GO:0019049,Uncle：1/Nephew (叔侄节点)
GO:0140225,GO:0044815,Sibling (兄弟节点)
GO:0006877,GO:0030003,Uncle：1/Nephew (叔侄节点)
GO:0001139,GO:0030674,Uncle：1/Nephew (叔侄节点)
GO:0045861,GO:0051248,Uncle/Nephew：1 (叔侄节点)
GO:0019499,GO:1901564,Sibling (兄弟节点)
GO:0008933,GO:0016837,Uncle/Nephew：1 (叔侄节点)
GO:0140723,GO:0046165,Uncle/Nephew：1 (叔侄节点)
GO:0043543,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0090422,GO:1901702,Uncle/Nephew：1 (叔侄节点)
GO:1902273,GO:0034763,Uncle：1/Nephew (叔侄节点)
GO:1904187,GO:0050794,Uncle/Nephew：1 (叔侄节点)
GO:0032803,GO:0042176,Uncle/Nephew：1 (叔侄节点)
GO:0002754,GO:0002753,Sibling (兄弟节点)
GO:0009368,GO:1902494,Sibling (兄弟节点)
GO:0032217,GO:1901702,Uncle/Nephew：1 (叔侄节点)
GO:0004117,GO:0004115,Sibling (兄弟节点)
GO:0036453,GO:0035194,Uncle：1/Nephew (叔侄节点)
GO:0030956,GO:1902494,Uncle/Nephew：1 (叔侄节点)
GO:1905829,GO:0050995,Sibling (兄弟节点)
GO:2001000,GO:2000988,Sibling (兄弟节点)
GO:0034145,GO:0062208,Uncle：1/Nephew (叔侄节点)
GO:0018215,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0033609,GO:0006807,Uncle：1/Nephew (叔侄节点)
GO:0097275,GO:0055082,Uncle：1/Nephew (叔侄节点)
GO:0090612,GO:0016814,Uncle/Nephew：1 (叔侄节点)
GO:0045571,GO:0048640,Uncle：1/Nephew (叔侄节点)
GO:0010512,GO:0031327,Uncle：1/Nephew (叔侄节点)
GO:0051870,GO:0072341,Uncle/Nephew：1 (叔侄节点)
GO:0034151,GO:0062207,Uncle：1/Nephew (叔侄节点)
GO:0000097,GO:0046394,Sibling (兄弟节点)
GO:0045283,GO:1902494,Uncle：1/Nephew (叔侄节点)
GO:0070906,GO:0015297,Uncle：1/Nephew (叔侄节点)
GO:0034775,GO:0055085,Uncle：1/Nephew (叔侄节点)
GO:0034157,GO:0062208,Uncle：1/Nephew (叔侄节点)
GO:0071088,GO:1902494,Uncle：1/Nephew (叔侄节点)
GO:0042572,GO:0042445,Uncle：1/Nephew (叔侄节点)
GO:0047822,GO:0016709,Uncle：1/Nephew (叔侄节点)
GO:0034141,GO:0062208,Uncle：1/Nephew (叔侄节点)
GO:0033069,GO:0072338,Sibling (兄弟节点)
GO:0015793,GO:0034219,Sibling (兄弟节点)
GO:0051673,GO:0052025,Uncle/Nephew：1 (叔侄节点)
GO:0009847,GO:0048869,Uncle：1/Nephew (叔侄节点)
GO:0008214,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0015501,GO:0042887,Uncle：1/Nephew (叔侄节点)
GO:0001550,GO:0048589,Sibling (兄弟节点)
GO:0015138,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0005452,GO:0015297,Sibling (兄弟节点)
GO:0006703,GO:0042446,Uncle/Nephew：1 (叔侄节点)
GO:1901752,GO:0042758,Uncle/Nephew：1 (叔侄节点)
GO:0019869,GO:0008200,Uncle/Nephew：1 (叔侄节点)
GO:0061515,GO:0030097,Uncle/Nephew：1 (叔侄节点)
GO:0072338,GO:1901360,Uncle/Nephew：1 (叔侄节点)
GO:0034165,GO:0062208,Uncle：1/Nephew (叔侄节点)
GO:1900555,GO:0072338,Uncle/Nephew：1 (叔侄节点)
GO:0019471,GO:0046483,Uncle/Nephew：1 (叔侄节点)
GO:0002144,GO:1902494,Sibling (兄弟节点)
GO:1901728,GO:0019752,Uncle/Nephew：1 (叔侄节点)
GO:0015112,GO:1901702,Uncle：1/Nephew (叔侄节点)
